Place_Name,State_FIPS,Place_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Indian Beach town,37,33460,3733460,86,100.0,83,96.5
Indian Trail town,37,33560,3733560,12371,97.5,12011,94.6
Ingold CDP,37,33640,3733640,213,100.0,166,77.9
Iron Station CDP,37,33820,3733820,171,64.0,171,64.0
Ivanhoe CDP,37,33940,3733940,70,76.1,70,76.1
JAARS CDP,37,33993,3733993,277,93.6,267,90.2
Jackson town,37,34000,3734000,246,86.9,143,50.5
Jackson Heights CDP,37,34038,3734038,208,65.0,188,58.8
Jackson Springs CDP,37,34160,3734160,23,100.0,23,100.0
Jacksonville city,37,34200,3734200,20300,96.1,19038,90.1
James City CDP,37,34260,3734260,1885,90.4,1835,88.0
Jamestown town,37,34300,3734300,1782,95.8,1719,92.4
Jamesville town,37,34320,3734320,229,86.4,235,88.7
Jefferson town,37,34440,3734440,567,82.5,494,71.9
Jonesville town,37,34840,3734840,948,81.0,693,59.2
Kannapolis city,37,35200,3735200,16089,91.6,15068,85.8
Keener CDP,37,35340,3735340,104,68.4,31,20.4
Kelford town,37,35360,3735360,129,82.7,96,61.5
Kelly CDP,37,35440,3735440,121,81.8,121,81.8
Kenansville town,37,35460,3735460,279,74.8,233,62.5
Kenly town,37,35540,3735540,661,79.3,527,63.2
Kernersville town,37,35600,3735600,9972,92.9,9351,87.1
King city,37,35760,3735760,2586,89.0,2199,75.6
Kings Grant CDP,37,35870,3735870,3828,97.8,3641,93.0
Kings Mountain city,37,35880,3735880,3479,79.8,2863,65.7
Kingstown town,37,35890,3735890,167,69.0,131,54.1
Kinston city,37,35920,3735920,7500,81.2,6707,72.6
Kittrell town,37,36020,3736020,37,80.4,32,69.6
Kitty Hawk town,37,36060,3736060,1506,95.8,1468,93.4
Knightdale town,37,36080,3736080,6312,96.8,6169,94.6
Kure Beach town,37,36220,3736220,984,97.9,941,93.6
La Grange town,37,36400,3736400,987,88.1,997,89.0
Lake Junaluska CDP,37,36480,3736480,1248,91.2,1165,85.1
Lake Lure town,37,36500,3736500,828,96.5,803,93.6
Lake Norman of Catawba CDP,37,36510,3736510,3291,93.9,3160,90.2
Lake Norman of Iredell CDP,37,36511,3736511,4301,98.3,4266,97.5
Lake Park village,37,36512,3736512,1457,99.3,1447,98.6
Lake Royale CDP,37,36513,3736513,1169,92.0,1181,93.0
Lake Santeetlah town,37,36514,3736514,22,100.0,22,100.0
Lake Waccamaw town,37,36640,3736640,547,83.8,496,76.0
Landis town,37,36860,3736860,837,83.9,819,82.1
Lansing town,37,36960,3736960,100,94.3,83,78.3
Lasker town,37,37000,3737000,55,84.6,42,64.6
Lattimore town,37,37040,3737040,106,79.7,104,78.2
Laurel Hill CDP,37,37120,3737120,395,90.6,331,75.9
Laurel Park town,37,37160,3737160,1085,95.0,1012,88.6
Laurinburg city,37,37220,3737220,4669,79.8,3897,66.6
Lawndale town,37,37260,3737260,188,72.9,147,57.0
Leggett town,37,37640,3737640,9,45.0,9,45.0
Leland town,37,37680,3737680,8974,98.3,8612,94.4
Lenoir city,37,37760,3737760,5811,80.1,5508,75.9
Lewiston Woodville town,37,38030,3738030,165,90.7,133,73.1
Lewisville town,37,38040,3738040,4934,97.0,4834,95.0
Lexington city,37,38060,3738060,6740,88.1,5808,75.9
Liberty town,37,38100,3738100,854,79.9,638,59.7
Light Oak CDP,37,38170,3738170,95,33.7,50,17.7
Lilesville town,37,38200,3738200,278,97.9,272,95.8
Lillington town,37,38220,3738220,815,89.5,784,86.1
Lincolnton city,37,38320,3738320,4230,87.1,3773,77.7
Linden town,37,38360,3738360,37,80.4,33,71.7
Linville CDP,37,38420,3738420,109,85.2,109,85.2
Littleton town,37,38680,3738680,175,64.3,97,35.7
Kill Devil Hills town,37,35720,3735720,3218,97.9,3031,92.2
Locust city,37,38860,3738860,1401,94.7,1285,86.9
Long Creek CDP,37,39060,3739060,46,86.8,46,86.8
Long View town,37,39280,3739280,1721,83.3,1519,73.5
Louisburg town,37,39360,3739360,821,76.7,760,71.0
Love Valley town,37,39420,3739420,53,80.3,49,74.2
Lowell city,37,39480,3739480,1417,96.7,1379,94.1
Lowesville CDP,37,39520,3739520,1155,91.3,1114,88.1
Lowgap CDP,37,39540,3739540,63,81.8,63,81.8
Lucama town,37,39600,3739600,296,86.0,266,77.3
Lumber Bridge town,37,39680,3739680,29,78.4,23,62.2
Lumberton city,37,39700,3739700,6243,85.9,5101,70.2
McAdenville town,37,39880,3739880,444,94.7,433,92.3
Macclesfield town,37,39960,3739960,73,48.0,54,35.5
McFarlan town,37,40240,3740240,33,100.0,31,93.9
McLeansville CDP,37,40460,3740460,359,83.3,339,78.7
Macon town,37,40540,3740540,28,84.8,25,75.8
Madison town,37,40560,3740560,938,94.1,839,84.2
Maggie Valley town,37,40600,3740600,795,95.1,737,88.2
Magnolia town,37,40640,3740640,389,90.5,344,80.0
Maiden town,37,40660,3740660,1128,94.2,953,79.5
Mamers CDP,37,40860,3740860,229,97.0,140,59.3
Manns Harbor CDP,37,40980,3740980,370,100.0,356,96.2
Manteo town,37,41060,3741060,796,92.3,711,82.5
Marble CDP,37,41220,3741220,140,84.3,140,84.3
Marietta town,37,41380,3741380,45,80.4,35,62.5
Marion city,37,41420,3741420,2520,86.5,2286,78.4
Mar-Mac CDP,37,41540,3741540,1205,86.3,1143,81.9
Marshall town,37,41580,3741580,240,79.7,226,75.1
Marshallberg CDP,37,41600,3741600,162,93.1,138,79.3
Mars Hill town,37,41620,3741620,783,91.5,683,79.8
Marshville town,37,41640,3741640,816,95.9,731,85.9
Marvin village,37,41720,3741720,1949,100.0,1941,99.6
Matthews town,37,41960,3741960,11639,96.0,11155,92.0
Maury CDP,37,42000,3742000,143,88.3,143,88.3
Maxton town,37,42020,3742020,728,71.0,579,56.5
Mayodan town,37,42060,3742060,851,72.0,677,57.3
Maysville town,37,42100,3742100,268,74.4,234,65.0
Mebane city,37,42240,3742240,5788,92.5,5376,85.9
Mesic town,37,42480,3742480,79,86.8,70,76.9
Micro town,37,42620,3742620,203,74.9,130,48.0
Middleburg town,37,42640,3742640,70,59.8,61,52.1
Middlesex town,37,42700,3742700,353,81.1,320,73.6
Midland town,37,42760,3742760,1139,97.1,1112,94.8
Midway town,37,42860,3742860,1875,95.0,1838,93.2
Millers Creek CDP,37,43160,3743160,637,84.0,527,69.5
Millingport CDP,37,43200,3743200,168,87.0,160,82.9
Mills River town,37,43260,3743260,2908,93.3,2647,84.9
Milton town,37,43300,3743300,89,83.2,66,61.7
Milwaukee CDP,37,43320,3743320,82,89.1,42,45.7
Mineral Springs town,37,43360,3743360,1038,92.4,1018,90.7
Minnesott Beach town,37,43440,3743440,188,77.4,170,70.0
Mint Hill town,37,43480,3743480,10059,96.0,9830,93.9
McDonald town,37,40140,3740140,32,82.1,20,51.3
Misenheimer village,37,43580,3743580,91,82.0,79,71.2
Mocksville town,37,43720,3743720,1719,89.0,1667,86.3
Momeyer town,37,43860,3743860,144,88.3,140,85.9
Moncure CDP,37,43880,3743880,273,96.5,211,74.6
Monroe city,37,43920,3743920,10592,92.0,9872,85.8
Montreat town,37,44100,3744100,19,100.0,11,57.9
Mooresboro town,37,44160,3744160,79,85.9,57,62.0
Mooresville town,37,44220,3744220,14130,95.9,13563,92.1
Moravian Falls CDP,37,44280,3744280,906,89.1,753,74.0
Morehead City town,37,44320,3744320,4139,88.8,3665,78.6
Morganton city,37,44400,3744400,5117,86.1,4437,74.6
Morrisville town,37,44520,3744520,10084,96.7,9927,95.2
Morven town,37,44560,3744560,177,81.2,165,75.7
Mountain Home CDP,37,44700,3744700,1569,90.2,1543,88.7
Mountain View CDP,37,44770,3744770,1367,97.2,1233,87.6
Mount Gilead town,37,44900,3744900,412,80.6,340,66.5
Mount Holly city,37,44960,3744960,5781,93.5,5583,90.3
Mount Olive town,37,45100,3745100,1548,83.7,1426,77.1
Mount Pleasant town,37,45140,3745140,558,76.5,551,75.6
Moyock CDP,37,45460,3745460,1990,99.2,1847,92.0
Mulberry CDP,37,45560,3745560,884,89.2,770,77.7
Murfreesboro town,37,45640,3745640,966,83.5,919,79.4
Murphy town,37,45660,3745660,785,89.5,567,64.7
Murraysville CDP,37,45720,3745720,6650,96.6,6405,93.1
Myrtle Grove CDP,37,45840,3745840,4084,96.3,3995,94.2
Nags Head town,37,45880,3745880,1235,91.2,1276,94.2
Nashville town,37,46000,3746000,1991,93.7,1837,86.4
Navassa town,37,46060,3746060,599,85.6,523,74.7
Nebo CDP,37,46100,3746100,533,96.4,349,63.1
Neuse Forest CDP,37,46280,3746280,713,97.5,707,96.7
New Bern city,37,46340,3746340,12241,89.6,10633,77.8
New Hope CDP,37,46650,3746650,461,100.0,445,96.5
Newland town,37,46740,3746740,307,79.9,228,59.4
New London town,37,46820,3746820,226,93.0,213,87.7
Newport town,37,46860,3746860,1590,96.4,1428,86.6
Newton city,37,47000,3747000,4330,83.6,4045,78.1
Newton Grove town,37,47020,3747020,267,89.0,212,70.7
Norlina town,37,47240,3747240,467,79.3,407,69.1
Norman town,37,47260,3747260,53,84.1,47,74.6
Northchase CDP,37,47485,3747485,1872,95.3,1788,91.0
Northlakes CDP,37,47695,3747695,566,100.0,539,95.2
North Topsail Beach town,37,47845,3747845,485,99.0,427,87.1
Northwest city,37,47860,3747860,283,84.2,222,66.1
North Wilkesboro town,37,47880,3747880,1576,82.9,1383,72.7
Norwood town,37,47980,3747980,930,94.0,911,92.1
Oakboro town,37,48040,3748040,824,88.7,801,86.2
Oak City town,37,48060,3748060,150,80.2,140,74.9
Oak Island town,37,48345,3748345,3748,96.6,3609,93.0
Oak Ridge town,37,48480,3748480,2243,97.6,2098,91.3
Ocean Isle Beach town,37,48700,3748700,365,96.3,352,92.9
Ocracoke CDP,37,48740,3748740,350,85.4,272,66.3
Ogden CDP,37,48790,3748790,3193,98.6,3164,97.7
Old Fort town,37,48920,3748920,241,71.7,200,59.5
Old Hundred CDP,37,48940,3748940,149,83.2,137,76.5
Oriental town,37,49380,3749380,589,96.4,574,93.9
Orrum town,37,49460,3749460,25,78.1,10,31.3
Mount Airy city,37,44800,3744800,3807,80.9,3169,67.4
Ossipee town,37,49600,3749600,174,94.6,153,83.2
Oxford city,37,49800,3749800,3170,87.9,2812,78.0
Pantego town,37,50080,3750080,89,91.8,62,63.9
Parkton town,37,50340,3750340,161,88.5,153,84.1
Parmele town,37,50540,3750540,79,59.8,80,60.6
Patterson Springs town,37,50700,3750700,254,80.9,167,53.2
Peachland town,37,50820,3750820,129,86.6,124,83.2
Peletier town,37,51040,3751040,298,95.5,255,81.7
Pembroke town,37,51080,3751080,744,87.3,551,64.7
Pikeville town,37,51780,3751780,278,96.2,271,93.8
Pilot Mountain town,37,51820,3751820,602,80.2,507,67.5
Pinebluff town,37,51840,3751840,632,94.0,603,89.7
Rocky Point CDP,37,57540,3757540,539,86.0,383,61.1
Rodanthe CDP,37,57580,3757580,110,100.0,110,100.0
Rolesville town,37,57640,3757640,2529,97.5,2444,94.2
Ronda town,37,57700,3757700,212,89.1,207,87.0
Roper town,37,57740,3757740,224,68.3,148,45.1
Roseboro town,37,57800,3757800,341,75.8,256,56.9
Rose Hill town,37,57860,3757860,575,81.8,477,67.9
Rosman town,37,58020,3758020,258,58.9,197,45.0
Rougemont CDP,37,58040,3758040,224,76.2,183,62.2
Rowland town,37,58140,3758140,350,70.6,245,49.4
Roxboro city,37,58160,3758160,2924,84.6,2408,69.7
Roxobel town,37,58180,3758180,58,66.7,59,67.8
Royal Pines CDP,37,58260,3758260,1670,93.2,1605,89.6
Ruffin CDP,37,58340,3758340,176,88.4,139,69.8
Rural Hall town,37,58360,3758360,1225,85.1,1115,77.4
Ruth town,37,58420,3758420,211,86.5,185,75.8
Rutherford College town,37,58440,3758440,372,72.7,322,62.9
Rutherfordton town,37,58460,3758460,1627,87.5,1567,84.3
St. Helena village,37,58620,3758620,167,96.0,153,87.9
St. James town,37,58630,3758630,2852,98.6,2800,96.8
St. Pauls town,37,58720,3758720,649,72.7,581,65.1
St. Stephens CDP,37,58730,3758730,3331,90.3,3193,86.6
Salem CDP,37,58740,3758740,578,80.5,539,75.1
Salemburg town,37,58840,3758840,133,75.1,98,55.4
Salisbury city,37,58860,3758860,10895,87.9,10070,81.2
Saluda city,37,58920,3758920,337,94.7,330,92.7
Salvo CDP,37,58940,3758940,39,100.0,39,100.0
Sandy Creek town,37,59090,3759090,95,94.1,79,78.2
Sandyfield town,37,59135,3759135,213,93.8,126,55.5
Sanford city,37,59280,3759280,8942,87.6,7115,69.7
Saratoga town,37,59340,3759340,126,79.7,125,79.1
Sawmills town,37,59540,3759540,1664,90.0,1595,86.3
Saxapahaw CDP,37,59580,3759580,550,92.9,479,80.9
Scotch Meadows CDP,37,59765,3759765,174,100.0,146,83.9
Scotland Neck town,37,59780,3759780,593,61.6,355,36.9
Seaboard town,37,59980,3759980,226,63.5,166,46.6
Sea Breeze CDP,37,60000,3760000,746,100.0,746,100.0
Seagrove town,37,60080,3760080,173,92.5,157,84.0
Sedalia town,37,60180,3760180,148,77.9,123,64.7
Selma town,37,60320,3760320,2170,84.7,1557,60.8
Seven Devils town,37,60505,3760505,199,95.2,193,92.3
Seven Lakes CDP,37,60515,3760515,1923,93.3,1851,89.8
Seven Springs town,37,60540,3760540,14,100.0,12,85.7
Severn town,37,60560,3760560,102,85.7,69,58.0
Shallotte town,37,60800,3760800,1738,92.4,1678,89.3
Shannon CDP,37,60940,3760940,116,100.0,107,92.2
Sharpsburg town,37,61060,3761060,493,79.3,367,59.0
Shelby city,37,61200,3761200,7053,81.7,5895,68.3
Siler City town,37,61860,3761860,2421,83.1,1978,67.9
Silver City CDP,37,61920,3761920,257,59.8,285,66.3
Silver Lake CDP,37,61950,3761950,2305,95.4,2288,94.7
Simpson village,37,62040,3762040,146,78.1,122,65.2
Sims town,37,62060,3762060,150,95.5,142,90.4
Skippers Corner CDP,37,62190,3762190,1040,96.9,1033,96.3
Smithfield town,37,62520,3762520,4410,87.9,3789,75.6
Pinehurst village,37,51940,3751940,7198,96.6,7002,94.0
Pine Knoll Shores town,37,52000,3752000,608,95.7,585,92.1
Pine Level town,37,52020,3752020,736,94.7,581,74.8
Pinetops town,37,52140,3752140,487,77.9,402,64.3
Pinetown CDP,37,52160,3752160,28,54.9,28,54.9
Pineville town,37,52220,3752220,3344,92.8,2950,81.9
Piney Green CDP,37,52260,3752260,4803,98.0,4336,88.5
Pink Hill town,37,52400,3752400,230,82.4,212,76.0
Pinnacle CDP,37,52500,3752500,152,72.4,134,63.8
Pittsboro town,37,52660,3752660,1545,83.0,1472,79.1
Plain View CDP,37,52685,3752685,446,66.6,397,59.3
Pleasant Garden town,37,52760,3752760,1421,85.8,1411,85.2
Pleasant Hill CDP,37,52920,3752920,363,97.1,363,97.1
Plymouth town,37,53040,3753040,1222,77.7,1111,70.6
Polkton town,37,53140,3753140,411,82.4,399,80.0
Polkville city,37,53160,3753160,158,83.6,104,55.0
Pollocksville town,37,53200,3753200,92,80.7,87,76.3
Porters Neck CDP,37,53475,3753475,2999,95.5,2852,90.8
Potters Hill CDP,37,53580,3753580,269,100.0,233,86.6
Powellsville town,37,53680,3753680,85,60.7,74,52.9
Princeton town,37,53820,3753820,509,88.2,421,73.0
Princeville town,37,53840,3753840,471,65.5,317,44.1
Proctorville town,37,53900,3753900,91,91.0,30,30.0
Prospect CDP,37,53950,3753950,220,76.4,182,63.2
Pumpkin Center CDP,37,54160,3754160,596,93.7,587,92.3
Raeford city,37,54580,3754580,1476,81.4,1350,74.4
Raemon CDP,37,54600,3754600,97,80.8,61,50.8
Raleigh city,37,55000,3755000,181445,96.8,173040,92.3
Ramseur town,37,55040,3755040,577,84.9,505,74.3
Randleman city,37,55080,3755080,1309,90.7,1179,81.6
Ranlo town,37,55260,3755260,1155,91.5,1123,89.0
Raynham town,37,55340,3755340,12,50.0,7,29.2
Red Cross town,37,55460,3755460,278,82.5,249,73.9
Red Oak town,37,55640,3755640,1340,90.6,1250,84.5
Red Springs town,37,55660,3755660,1031,78.8,883,67.5
Reidsville city,37,55900,3755900,4772,73.8,3866,59.8
Rennert town,37,55940,3755940,131,78.9,128,77.1
Rex CDP,37,56100,3756100,13,100.0,0,0.0
Rhodhiss town,37,56240,3756240,272,78.4,266,76.7
Richfield town,37,56340,3756340,288,97.0,279,93.9
Richlands town,37,56360,3756360,764,93.4,736,90.0
Rich Square town,37,56440,3756440,256,75.3,209,61.5
Riegelwood CDP,37,56600,3756600,242,96.0,211,83.7
River Bend town,37,56710,3756710,1255,93.4,1235,92.0
River Road CDP,37,56815,3756815,1659,92.1,1397,77.5
Roanoke Rapids city,37,56900,3756900,5205,85.1,4574,74.8
Robbins town,37,57000,3757000,481,86.2,450,80.6
Robbinsville town,37,57020,3757020,250,64.6,209,54.0
Roberdel CDP,37,57039,3757039,153,100.0,105,68.6
Robersonville town,37,57100,3757100,644,89.3,591,82.0
Rockfish CDP,37,57200,3757200,1379,95.8,1409,97.8
Rockingham city,37,57260,3757260,3076,80.3,2756,72.0
Rockwell town,37,57340,3757340,748,91.8,713,87.5
Rocky Mount city,37,57500,3757500,19098,85.0,16401,73.0
Smithtown CDP,37,62580,3762580,16,32.0,11,22.0
Sneads Ferry CDP,37,62680,3762680,868,81.3,842,78.9
Snow Hill town,37,62760,3762760,746,84.4,660,74.7
Southern Pines town,37,63120,3763120,5649,91.3,5207,84.1
Southern Shores town,37,63130,3763130,1132,98.9,1125,98.3
South Henderson CDP,37,63240,3763240,259,67.6,163,42.6
South Mills CDP,37,63340,3763340,150,96.2,150,96.2
Southmont CDP,37,63360,3763360,577,86.9,526,79.2
Southport city,37,63400,3763400,1541,94.6,1455,89.3
South Rosemary CDP,37,63470,3763470,1005,82.9,688,56.8
South Weldon CDP,37,63560,3763560,214,73.5,123,42.3
Sparta town,37,63680,3763680,689,76.6,644,71.6
Speed town,37,63720,3763720,31,73.8,21,50.0
Spencer town,37,63760,3763760,1094,93.7,1023,87.7
Spencer Mountain town,37,63780,3763780,0,-666666666.0,0,-666666666.0
Spindale town,37,63880,3763880,1367,78.3,1091,62.5
Spivey's Corner CDP,37,63920,3763920,69,83.1,69,83.1
Spout Springs CDP,37,64000,3764000,3131,99.0,3072,97.1
Springdale CDP,37,64050,3764050,445,89.5,444,89.3
Spring Hope town,37,64160,3764160,420,67.6,352,56.7
Spring Lake town,37,64180,3764180,4183,94.6,3864,87.4
Spruce Pine town,37,64260,3764260,820,86.1,738,77.5
Staley town,37,64380,3764380,119,86.9,109,79.6
Stallings town,37,64420,3764420,5391,97.8,5278,95.8
Stanfield town,37,64460,3764460,536,94.5,463,81.7
Stanley town,37,64500,3764500,1249,92.7,1155,85.7
Stantonsburg town,37,64560,3764560,198,83.5,186,78.5
Star town,37,64580,3764580,242,63.2,229,59.8
Statesville city,37,64740,3764740,9715,88.6,9153,83.5
Stedman town,37,64840,3764840,572,95.3,497,82.8
Stem town,37,64940,3764940,451,96.8,437,93.8
Stokes CDP,37,65020,3765020,171,100.0,171,100.0
Stokesdale town,37,65040,3765040,1710,95.5,1539,86.0
Stoneville town,37,65100,3765100,393,80.0,376,76.6
Stonewall town,37,65120,3765120,140,97.9,80,55.9
Stony Point CDP,37,65260,3765260,544,95.1,477,83.4
Stovall town,37,65320,3765320,88,72.1,87,71.3
Sugar Mountain village,37,65530,3765530,236,97.1,232,95.5
Summerfield town,37,65580,3765580,3763,95.9,3582,91.3
Sunbury CDP,37,65700,3765700,153,100.0,111,72.5
Sunset Beach town,37,65900,3765900,2002,96.3,1925,92.6
Surf City town,37,66040,3766040,1201,98.2,1103,90.2
Swannanoa CDP,37,66280,3766280,1165,77.9,1012,67.6
