Census_Tract_Name,County_Name,State_FIPS,County_FIPS,Census_Tract_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Census Tract 602.01, Davidson ,37,057,060201,37057060201,1783,91.3,1741,89.2
Census Tract 602.02, Davidson ,37,057,060202,37057060202,879,91.6,806,84.0
Census Tract 615.01, Iredell ,37,097,061501,37097061501,1152,88.1,1125,86.0
Census Tract 615.02, Iredell ,37,097,061502,37097061502,1276,95.0,1198,89.2
Census Tract 615.03, Iredell ,37,097,061503,37097061503,1457,94.7,1360,88.4
Census Tract 616.01, Iredell ,37,097,061601,37097061601,969,86.3,949,84.5
Census Tract 616.03, Iredell ,37,097,061603,37097061603,1794,100.0,1645,91.7
Census Tract 616.04, Iredell ,37,097,061604,37097061604,385,100.0,385,100.0
Census Tract 616.05, Iredell ,37,097,061605,37097061605,765,90.4,730,86.3
Census Tract 9402, Jackson ,37,099,940200,37099940200,1833,85.2,1369,63.6
Census Tract 9502, Jackson ,37,099,950200,37099950200,860,89.1,708,73.4
Census Tract 9503, Jackson ,37,099,950300,37099950300,2352,91.8,2072,80.8
Census Tract 9504, Jackson ,37,099,950400,37099950400,1598,88.5,1417,78.5
Census Tract 9505, Jackson ,37,099,950500,37099950500,2739,90.3,2227,73.4
Census Tract 9506, Jackson ,37,099,950600,37099950600,2970,92.6,2026,63.2
Census Tract 9507, Jackson ,37,099,950700,37099950700,1000,86.9,870,75.6
Census Tract 9508, Jackson ,37,099,950800,37099950800,609,75.6,551,68.4
Census Tract 9509, Jackson ,37,099,950900,37099950900,1209,91.2,1124,84.8
Census Tract 401.01, Johnston ,37,101,040101,37101040101,920,85.4,703,65.3
Census Tract 401.02, Johnston ,37,101,040102,37101040102,721,80.3,516,57.5
Census Tract 401.03, Johnston ,37,101,040103,37101040103,783,93.7,666,79.7
Census Tract 402.04, Johnston ,37,101,040204,37101040204,1363,93.4,1085,74.4
Census Tract 402.05, Johnston ,37,101,040205,37101040205,1882,94.4,1644,82.5
Census Tract 402.06, Johnston ,37,101,040206,37101040206,1394,83.8,1131,68.0
Census Tract 402.07, Johnston ,37,101,040207,37101040207,3245,94.7,3220,94.0
Census Tract 402.08, Johnston ,37,101,040208,37101040208,1427,100.0,1427,100.0
Census Tract 402.09, Johnston ,37,101,040209,37101040209,2043,100.0,2028,99.3
Census Tract 402.10, Johnston ,37,101,040210,37101040210,777,98.1,777,98.1
Census Tract 403.01, Johnston ,37,101,040301,37101040301,1551,88.4,1145,65.2
Census Tract 403.03, Johnston ,37,101,040303,37101040303,1173,81.6,911,63.4
Census Tract 403.04, Johnston ,37,101,040304,37101040304,792,89.6,717,81.1
Census Tract 404, Johnston ,37,101,040400,37101040400,1572,94.0,1291,77.2
Census Tract 405.01, Johnston ,37,101,040501,37101040501,1608,87.0,1201,65.0
Census Tract 405.02, Johnston ,37,101,040502,37101040502,636,86.2,502,68.0
Census Tract 406, Johnston ,37,101,040600,37101040600,1131,81.1,968,69.4
Census Tract 407, Johnston ,37,101,040700,37101040700,1336,88.8,1047,69.6
Census Tract 408, Johnston ,37,101,040800,37101040800,1715,94.1,1596,87.6
Census Tract 409.03, Johnston ,37,101,040903,37101040903,2268,98.3,2125,92.1
Census Tract 614.08, Iredell ,37,097,061408,37097061408,1335,98.1,1328,97.6
Census Tract 409.04, Johnston ,37,101,040904,37101040904,1173,96.6,969,79.8
Census Tract 409.05, Johnston ,37,101,040905,37101040905,1348,81.9,1256,76.4
Census Tract 409.06, Johnston ,37,101,040906,37101040906,687,95.0,664,91.8
Census Tract 410.01, Johnston ,37,101,041001,37101041001,3202,95.1,2818,83.7
Census Tract 410.03, Johnston ,37,101,041003,37101041003,1421,97.3,1379,94.5
Census Tract 410.04, Johnston ,37,101,041004,37101041004,560,85.6,498,76.1
Census Tract 410.05, Johnston ,37,101,041005,37101041005,1172,99.0,865,73.1
Census Tract 9604, Pasquotank ,37,139,960400,37139960400,1448,87.1,1352,81.3
Census Tract 9605.01, Pasquotank ,37,139,960501,37139960501,1147,90.7,1020,80.6
Census Tract 9605.02, Pasquotank ,37,139,960502,37139960502,1470,83.5,1411,80.2
Census Tract 9605.03, Pasquotank ,37,139,960503,37139960503,853,84.0,761,74.9
Census Tract 9606, Pasquotank ,37,139,960600,37139960600,2687,95.5,2606,92.6
Census Tract 9607.01, Pasquotank ,37,139,960701,37139960701,1913,91.4,1806,86.2
Census Tract 9607.02, Pasquotank ,37,139,960702,37139960702,1149,87.5,1032,78.6
Census Tract 9201.04, Pender ,37,141,920104,37141920104,1313,94.9,1243,89.9
Census Tract 9201.05, Pender ,37,141,920105,37141920105,709,97.3,608,83.4
Census Tract 9201.06, Pender ,37,141,920106,37141920106,795,99.1,761,94.9
Census Tract 9202.01, Pender ,37,141,920201,37141920201,2691,96.2,2566,91.7
Census Tract 9202.02, Pender ,37,141,920202,37141920202,2892,97.7,2767,93.4
Census Tract 9202.03, Pender ,37,141,920203,37141920203,1915,96.0,1862,93.3
Census Tract 9202.04, Pender ,37,141,920204,37141920204,797,85.1,623,66.5
Census Tract 9203, Pender ,37,141,920300,37141920300,1406,85.3,1028,62.3
Census Tract 9204.01, Pender ,37,141,920401,37141920401,908,90.2,774,76.9
Census Tract 9204.02, Pender ,37,141,920402,37141920402,1103,85.4,933,72.3
Census Tract 9204.03, Pender ,37,141,920403,37141920403,947,87.7,890,82.4
Census Tract 9205.01, Pender ,37,141,920501,37141920501,1478,79.4,1158,62.2
Census Tract 9205.02, Pender ,37,141,920502,37141920502,527,85.6,442,71.8
Census Tract 9206.01, Pender ,37,141,920601,37141920601,1113,89.4,930,74.7
Census Tract 9206.02, Pender ,37,141,920602,37141920602,2395,97.4,2138,86.9
Census Tract 9901, Pender ,37,141,990100,37141990100,0,-666666666.0,0,-666666666.0
Census Tract 9201.01, Perquimans ,37,143,920101,37143920101,1314,80.7,1210,74.3
Census Tract 9201.02, Perquimans ,37,143,920102,37143920102,1110,84.7,1043,79.6
Census Tract 9202.01, Perquimans ,37,143,920201,37143920201,879,80.3,703,64.3
Census Tract 9202.02, Perquimans ,37,143,920202,37143920202,1773,95.6,1626,87.7
Census Tract 9201, Person ,37,145,920100,37145920100,2447,90.7,2250,83.4
Census Tract 9202, Person ,37,145,920200,37145920200,2263,83.2,2147,78.9
Census Tract 9203, Person ,37,145,920300,37145920300,2138,82.5,1713,66.1
Census Tract 9204, Person ,37,145,920400,37145920400,1016,85.2,960,80.5
Census Tract 9205, Person ,37,145,920500,37145920500,2501,92.9,2411,89.5
Census Tract 9206.01, Person ,37,145,920601,37145920601,2151,94.3,1780,78.1
Census Tract 9206.02, Person ,37,145,920602,37145920602,1898,96.0,1755,88.8
Census Tract 1.01, Pitt ,37,147,000101,37147000101,910,94.5,831,86.3
Census Tract 1.02, Pitt ,37,147,000102,37147000102,1071,80.4,934,70.1
Census Tract 2.01, Pitt ,37,147,000201,37147000201,2013,87.3,1721,74.6
Census Tract 2.02, Pitt ,37,147,000202,37147000202,1107,94.5,1105,94.4
Census Tract 3.01, Pitt ,37,147,000301,37147000301,1112,87.7,1101,86.8
Census Tract 3.03, Pitt ,37,147,000303,37147000303,980,100.0,770,78.6
Census Tract 3.04, Pitt ,37,147,000304,37147000304,1934,97.0,1839,92.2
Census Tract 4, Pitt ,37,147,000400,37147000400,721,96.3,614,82.0
